,name,nick_name,fight_record,height,weight,reach,stance,DOB
635,Jennifer Maia,,15-5-1,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988"
636,Enrique Marin,Wasabi,9-4-0,"5' 10""",170 lbs.,"74""",,"Sep 02, 1986"
637,Ryuichi Murata,,8-3-1,"5' 8""",183 lbs.,--,Orthodox,--
638,Dieusel Berto,,0-3-0,"5' 9""",200 lbs.,--,,--
639,David Teymur,,8-2-0,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989"
640,Eugene Jackson,The Wolf,15-9-1,"5' 8""",185 lbs.,--,Orthodox,"Sep 23, 1966"
641,TJ Hepburn,The Carnivore,4-2-0,"5' 7""",155 lbs.,--,,--
642,Houston Alexander,The Assassin,13-8-1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972"
643,Joe Riggs,Diesel,41-17-0 (1 NC),"6' 0""",185 lbs.,"70""",Southpaw,"Sep 23, 1982"
644,Leah Letson,Nidas,5-2-0,"5' 7""",145 lbs.,"71""",,"Aug 21, 1992"
645,Derek Getzel,The Pretzel,3-2-0,"6' 0""",155 lbs.,--,,--
646,Jianping Yang,Tiger,7-4-1,"5' 7""",145 lbs.,"65""",Orthodox,"Nov 27, 1988"
647,Chris Manuel,,8-3-2,"5' 9""",135 lbs.,--,Orthodox,"Jul 21, 1987"
648,Todd Butler,,1-4-0,"6' 1""",200 lbs.,--,Southpaw,--
649,Vitor Ribeiro,Shaolin,20-5-0,"5' 8""",154 lbs.,--,Orthodox,"Feb 24, 1979"
650,Adlan Amagov,Borz,13-2-1,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
651,Vernon White,Tiger,26-33-2,"6' 0""",205 lbs.,--,Southpaw,"Dec 03, 1971"
652,Matt Dwyer,,8-4-0,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989"
653,Anthony Morrison,Cheesesteak,16-10-0 (1 NC),"5' 7""",145 lbs.,--,Orthodox,"Mar 29, 1984"
654,Anthony Njokuani,The Assassin,16-9-0 (1 NC),"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980"
655,Shane Primm,,6-5-0,"6' 3""",205 lbs.,--,Orthodox,"Jul 30, 1984"
656,Ryo Chonan,Piranah,20-12-0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 08, 1976"
657,Rob Wilkinson,Razor,11-2-0,"6' 3""",185 lbs.,"80""",Orthodox,"Feb 22, 1992"
658,Devonte Smith,King Kage,10-1-0,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993"
659,RJ Clifford,,3-2-0,--,160 lbs.,--,,--
660,Ryan Hayes,,2-2-0,--,--,--,,--
661,Bobby Flynn,,6-4-0,--,170 lbs.,--,,--
662,Brandon Lowe,,2-1-0,--,155 lbs.,--,,--
663,Eric Wray,,5-1-0,"6' 0""",170 lbs.,--,Orthodox,--
664,Jeremy Tavares,,1-5-0,--,135 lbs.,--,,--
665,Roger Zapata,Viva,4-3-0,"5' 11""",170 lbs.,"74""",Southpaw,"May 09, 1986"
666,Chris Amarante,,2-0-0,--,185 lbs.,--,,--
667,Ian Butler,,3-3-0 (1 NC),"5' 8""",155 lbs.,--,,--
668,Brian Ortega,T-City,14-1-0 (1 NC),"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991"
669,Brian Rogers,The Professional Predator,11-8-0,"5' 11""",185 lbs.,--,,"Feb 15, 1984"
670,Brett Johns,The Pikey,15-2-0,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992"
671,Andy Wang,,7-8-1 (1 NC),"5' 6""",155 lbs.,--,Orthodox,"May 28, 1977"
672,Eddie Alvarez,The Underground King,29-6-0 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984"
673,Gleison Tibau,,40-14-0,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983"
674,Katsuyori Shibata,,4-11-1,"6' 0""",168 lbs.,--,Orthodox,"Nov 17, 1979"
675,Derek Downey,,11-4-0,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980"
676,Matheus Nicolau,,13-3-1,"5' 6""",125 lbs.,"66""",,"Jan 06, 1993"
677,Stevie Ray,Braveheart,22-8-0,"5' 10""",155 lbs.,"70""",Southpaw,"Mar 25, 1990"
678,Victor Valimaki,The Matrix,16-8-0,"6' 0""",205 lbs.,--,Orthodox,--
679,Dave Cochran,,25-28-1,"5' 6""",155 lbs.,--,,"May 10, 1973"
680,Jeff Hughes,Lights Out,9-1-0,"6' 2""",250 lbs.,"78""",Orthodox,"May 17, 1988"
681,Tony Johnson,,4-2-0,--,185 lbs.,--,,--
682,Miguel Torres,,39-5-0,"5' 9""",135 lbs.,"76""",Orthodox,"Jan 18, 1981"
683,Mark Bocek,,12-5-0,"5' 8""",155 lbs.,"75""",Orthodox,"Oct 24, 1981"
684,Paul Bradley,The Gentleman,18-3-0 (1 NC),"5' 9""",170 lbs.,--,Orthodox,"Jun 13, 1983"
685,Iuri Alcantara,Marajo,35-10-0 (1 NC),"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980"
686,Mike Budnik,,11-4-0,"5' 9""",145 lbs.,"68""",Orthodox,"Aug 08, 1974"
687,Mirsad Bektic,,13-1-0,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991"
688,Rodney Faverus,,25-19-3 (1 NC),"6' 0""",215 lbs.,--,Southpaw,--
689,Carl Toomey,,3-3-0,--,--,--,,--
690,Brett Rogers,The Grim,11-4-0 (1 NC),"6' 5""",265 lbs.,"81""",Orthodox,"Feb 17, 1981"
691,Roman Zentsov,The Russian Hammer,18-13-0,"6' 1""",230 lbs.,--,Orthodox,"Sep 10, 1973"
692,Tokimitsu Ishizawa,Kendo Ka Shin,1-5-1,"6' 0""",185 lbs.,--,Orthodox,"Aug 05, 1968"
693,Bruno Assis,Brunao,8-3-0,"6' 2""",185 lbs.,--,Orthodox,"May 23, 1992"
694,Jason Butcher,,10-2-0,"6' 3""",185 lbs.,--,,"Oct 23, 1984"
695,Branko Cikatic,,0-2-0,"6' 1""",215 lbs.,--,Orthodox,"Oct 03, 1954"
696,Bobby Hoffman,The Truth,36-10-1 (2 NC),"6' 2""",245 lbs.,--,Orthodox,"Oct 28, 1968"
697,Demetrious Johnson,Mighty Mouse,27-3-1,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986"
698,Young Sam Jung,,4-4-0,"5' 8""",139 lbs.,--,Orthodox,"Oct 27, 1985"
699,Luke Zachrich,,14-4-0,"6' 2""",185 lbs.,"74""",Orthodox,"Dec 19, 1981"
700,Damir Hadzovic,The Bosnian Bomber,12-4-0,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986"
701,Anthony Alves,,1-3-0,--,--,--,,--
702,Tiffany Masters,Rainbow Renegade,2-1-0,"5' 3""",115 lbs.,"65""",Orthodox,"Jul 31, 1994"
703,Jessica Rakoczy,The Ragin',2-5-0 (1 NC),"5' 7""",115 lbs.,"68""",Orthodox,"Apr 14, 1977"
704,Leon Edwards,Rocky,16-3-0,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991"
705,David Mitchell,Daudi,12-4-0,"6' 0""",170 lbs.,"76""",Orthodox,"Oct 24, 1979"
706,DaMarques Johnson,Darkness,18-12-0,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 28, 1982"
707,Yao Zhikui,The Conqueror,2-5-0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 07, 1991"
708,Leslie Smith,The Peacemaker,10-7-1,"5' 9""",135 lbs.,"66""",Orthodox,"Aug 17, 1982"
709,Veta Arteaga,,3-1-0,"5' 7""",125 lbs.,--,,--
710,Fabiano Scherner,Pegaleve,8-8-0 (3 NC),"6' 3""",257 lbs.,--,Orthodox,"Jun 30, 1972"
711,Herman Terrado,,8-2-1,--,170 lbs.,--,,--
712,Dan Bobish,,17-9-0,"6' 2""",345 lbs.,--,Southpaw,"Jan 26, 1970"
713,Chance Rencountre,Black Eagle,13-3-0,"6' 2""",170 lbs.,"75""",Southpaw,"Dec 31, 1986"
714,Julian Marquez,The Cuban Missle Crisis,7-2-0,"6' 2""",185 lbs.,"75""",Orthodox,"May 08, 1990"
715,Bobby Southworth,,10-6-0 (1 NC),"6' 2""",205 lbs.,--,Orthodox,"Dec 16, 1969"
716,Marc Cofer,,4-4-0,--,185 lbs.,--,,"Mar 03, 1972"
717,Mike Altman,,1-4-0,"5' 10""",185 lbs.,--,Orthodox,--
718,Jason Blackford,,2-3-0,--,--,--,,--
719,Jeff Newton,,4-2-0,"6' 2""",205 lbs.,--,Sideways,"Dec 11, 1966"
720,Bobby Sanchez,The Kid,6-17-0,"5' 7""",155 lbs.,--,Orthodox,--
721,Darren Elkins,The Damage,25-7-0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984"
722,Guilherme Viana,,7-3-0,"6' 4""",205 lbs.,--,,--
723,Mark Robinson,White Rhino,1-0-0 (1 NC),"6' 0""",265 lbs.,--,Orthodox,--
724,Joe Brammer,The South Side Strangler,7-3-1,"5' 8""",155 lbs.,--,Orthodox,"Aug 23, 1983"
725,Alex Gilpin,,11-1-0,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 26, 1992"
726,Ido Pariente,,12-5-0,"5' 8""",155 lbs.,--,Orthodox,--
727,Don Frye,The Predator,20-9-1 (1 NC),"6' 1""",219 lbs.,--,Orthodox,"Nov 23, 1965"
728,John Howard,Doomsday,23-12-0,"5' 7""",170 lbs.,"71""",Orthodox,"Mar 01, 1983"
729,Rodrigo Gripp de Sousa,Riscado,7-9-0,"5' 11""",205 lbs.,--,Orthodox,--
730,Kalib Starnes,,12-7-1,"6' 3""",185 lbs.,"74""",Orthodox,"Jan 06, 1975"
731,Takashi Sugiura,,1-3-0,"5' 11""",225 lbs.,--,Southpaw,"May 31, 1970"
732,Chris Gruetzemacher,Gritz,14-3-0,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986"
733,Derrick Mehmen,Caveman,12-4-0,"6' 4""",205 lbs.,--,,"May 30, 1985"
734,Damian Stasiak,Webster,10-6-0,"5' 5""",135 lbs.,"70""",Orthodox,"Feb 20, 1990"
735,Dustin Kimura,The Diamond,12-3-0,"5' 7""",135 lbs.,"71""",Orthodox,"May 21, 1989"
736,Gina Carano,Conviction,7-1-0,"5' 8""",145 lbs.,--,Orthodox,"Apr 16, 1982"
737,Julio Arce,,15-3-0,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989"
738,Ben Askren,Funky,18-0-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Jul 18, 1984"
739,Alex Chambers,Astro Girl,5-5-0,"5' 3""",115 lbs.,"63""",,"Oct 25, 1978"
740,Shinsho Anzai,Animal,10-3-0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985"
741,Raquel Pennington,Rocky,9-8-0,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988"
742,Fabricio Camoes,Morango,14-9-1,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 23, 1978"
743,Michael Lerma,,0-1-0,--,--,--,,--
744,Takahiro Oba,,5-7-1,"5' 8""",200 lbs.,--,Southpaw,--
745,Thanh Le,,6-1-0,"5' 9""",145 lbs.,"74""",Orthodox,"Aug 28, 1985"
746,John Elam,,2-0-0,--,--,--,,--
747,Demetrius Gioulacos,,0-1-0,"5' 11""",185 lbs.,--,,--
748,Phil Hawes,Megatron,4-1-0,"6' 1""",185 lbs.,"70""",Orthodox,"Jan 08, 1989"
749,Lionel Lanham,,3-1-0,--,205 lbs.,--,,"Aug 31, 1980"
750,Kelly Velasco,Killer,2-1-0,"5' 9""",135 lbs.,--,Orthodox,"May 21, 1995"
751,Nick Piedmont,No Limit,12-7-1,"5' 10""",145 lbs.,--,,--
752,Joao Roque,,7-2-4,"5' 6""",155 lbs.,--,Orthodox,"Jul 22, 1971"
753,Mark Hominick,The Machine,20-12-0,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 22, 1982"
754,Doug Evans,,13-9-0,"5' 9""",155 lbs.,--,Orthodox,"Oct 10, 1980"
755,Vitor Belfort,The Phenom,26-14-0 (1 NC),"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977"
756,Takeya Mizugaki,,21-11-2,"5' 7""",135 lbs.,"68""",Orthodox,"Dec 16, 1983"
757,Marvin Maldonado,The Bulldog,2-4-0 (1 NC),"5' 6""",135 lbs.,--,,--
758,Chris Sanford,,5-1-0,"5' 11""",185 lbs.,--,Orthodox,"Mar 12, 1968"
759,Taylor Lapilus,Double Impact,11-2-0,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992"
760,Yoshihiro Akiyama,,14-6-0 (2 NC),"5' 10""",170 lbs.,"73""",Orthodox,"Jul 29, 1975"
761,Masakatsu Okuda,,8-5-0,--,--,--,,--
762,Danny Roberts,Hot Chocolate,16-3-0,"6' 1""",170 lbs.,"74""",Southpaw,"Jul 14, 1987"
763,Wuliji Buren,Beast Master,10-7-0,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 01, 1989"
764,Bristol Marunde,,12-9-0,"6' 1""",170 lbs.,"71""",Orthodox,"Apr 20, 1982"
765,Antonina Shevchenko,La Pantera,7-0-0,"5' 8""",125 lbs.,--,Southpaw,"Nov 20, 1984"
766,Tommy Speer,,19-5-0,"5' 10""",170 lbs.,"71""",Orthodox,"Aug 20, 1984"
767,Rulon Gardner,,1-0-0,"6' 3""",265 lbs.,--,Orthodox,"Aug 16, 1971"
768,Jess Liaudin,The Joker,19-11-0,"5' 9""",170 lbs.,"72""",Orthodox,--
769,Troy Mandaloniz,Rude Boy,3-2-0,"5' 9""",170 lbs.,--,Orthodox,"Feb 01, 1980"
770,Joe Pardo,,4-6-0,"6' 1""",210 lbs.,--,Southpaw,--
771,Bruno Santos,Carioca,14-2-0,"5' 9""",185 lbs.,"69""",Orthodox,"Jul 17, 1987"
772,Manny Tapia,The Mangler,11-4-1,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981"
773,Bubba Jenkins,The Highlight Kid,11-4-0,"5' 7""",145 lbs.,--,,"Feb 05, 1988"
774,Abram Torres,,4-3-0,"5' 10""",170 lbs.,--,,"Oct 29, 1982"
775,Aurelijus Kerpe,,11-16-0,--,--,--,Orthodox,--
776,Sarah D'alelio,The Monster,4-2-0,"5' 7""",145 lbs.,--,,"Dec 13, 1980"
777,Bryce Mejia,,3-1-0,"6' 1""",170 lbs.,--,,--
778,Kenneth Seegrist,,4-6-0,"6' 0""",185 lbs.,--,Orthodox,--
779,Jason Knight,The Kid,20-6-0,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 14, 1992"
780,Tim Hague,The Trashing Machine,13-5-0,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983"
781,John Doyle,The Iron Bull,11-20-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,"Nov 21, 1976"
782,Luke Hartwig,,0-1-0,--,--,--,,--
783,Luiz Firmino,Buscape,13-6-0,"5' 6""",154 lbs.,--,Orthodox,"Mar 18, 1982"
784,Raja Shippen,,18-11-1,"5' 6""",145 lbs.,--,,"Oct 07, 1986"
785,Artenus Young,,7-4-0,--,205 lbs.,--,,"Jul 16, 1980"
786,Marcus Kowal,,3-1-1,--,135 lbs.,--,,--
787,Sako Chivitchian,,5-1-0,"5' 11""",155 lbs.,--,,"Mar 11, 1984"
788,John Kolosci,,15-8-0,"5' 11""",185 lbs.,--,Orthodox,"Nov 26, 1974"
789,Brad Tavares,,17-6-0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987"
790,Lucas Gamaza,,5-2-0,--,170 lbs.,--,,--
791,Junior Dos Santos,Cigano,20-5-0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984"
792,Kestutis Smirnovas,,22-8-1,"5' 10""",200 lbs.,--,Orthodox,--
793,Ricky Simon,,15-1-0,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992"
794,Jonathan  Mix,,6-4-0,"6' 0""",168 lbs.,--,,"Nov 09, 1980"
795,Han Ten Yun,,0-1-0,"5' 11""",220 lbs.,--,,--
796,Lucie Pudilova,Bullet,8-3-0,"5' 8""",125 lbs.,"67""",Orthodox,"Jun 13, 1994"
797,Brian Lo-A-Njoe,,6-9-3,"5' 7""",155 lbs.,--,Orthodox,--
798,Hiroko Yamanaka,Cat's Eye,12-3-0 (1 NC),"5' 11""",135 lbs.,--,,"Oct 24, 1978"
799,Clay Harvison,Bushwacker,9-3-0,"6' 1""",170 lbs.,"74""",,"Sep 25, 1980"
800,Kristof Midoux,The Hurricane,6-10-0,"6' 1""",220 lbs.,--,Orthodox,"Jul 30, 1974"
801,Wataru Sakata,,11-13-0,"5' 9""",195 lbs.,--,Southpaw,"Mar 11, 1973"
802,Byron Bloodworth,,6-3-0,"5' 8""",135 lbs.,"69""",Orthodox,"Aug 16, 1983"
803,Amir Sadollah,,7-5-0,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 27, 1980"
804,Chris Hawk,,4-8-0,"6' 1""",205 lbs.,--,,--
805,Chase Gormley,,7-4-0 (1 NC),"6' 3""",265 lbs.,--,Orthodox,--
806,Bill Duvall,,1-2-0,"6' 2""",185 lbs.,--,Southpaw,--
807,Ricardo Morais,The Mutant,10-4-1,"6' 8""",270 lbs.,--,Orthodox,"Feb 26, 1967"
808,Brad Royster,,1-2-0,--,135 lbs.,--,,--
809,Larry Cureton,,0-2-0,"6' 2""",240 lbs.,--,Orthodox,--
810,Ron Faircloth,,33-20-0 (1 NC),"5' 9""",205 lbs.,--,Orthodox,"Aug 16, 1979"
811,Paul Buentello,The Headhunter,29-14-0,"6' 2""",245 lbs.,"77""",Orthodox,"Jan 16, 1974"
812,Kerry Vera,,2-0-0,"5' 7""",135 lbs.,--,Orthodox,--
813,Mayra Bueno Silva,Sheetara,6-0-0,"5' 6""",135 lbs.,--,Orthodox,"Aug 22, 1991"
814,Dan Charles,The Man,10-6-1,"6' 2""",228 lbs.,--,,"Sep 24, 1985"
815,Tsuyoshi Tamakairiki,,0-3-0,"6' 0""",220 lbs.,--,Orthodox,--
816,Ashe Bowman,The Archer,9-10-0,"5' 9""",155 lbs.,--,,"Nov 17, 1976"
817,Richard Dalton,,4-3-1,"6' 1""",205 lbs.,--,Orthodox,--
818,Travis Johnson,,0-1-0,--,205 lbs.,--,,--
819,Alexis Dufresne,Sneaky Zebra,5-4-0,"5' 9""",135 lbs.,"68""",Orthodox,"Aug 31, 1990"
820,Joseph Benavidez,,27-5-0,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984"
821,Jeremy Kimball,Grizzly,15-8-0,"6' 0""",205 lbs.,"72""",Switch,"Jan 03, 1991"
822,Aaron Phillips,The Model,8-2-0,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989"
823,Treston Thomison,,10-6-0,"5' 8""",145 lbs.,--,,--
824,Caio Magalhaes,Hellboy,9-3-0,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987"
825,Ben Lagman,Bad News,6-2-0,"6' 2""",185 lbs.,--,,"Sep 04, 1986"
826,Joe Duffy,Irish,16-3-0,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988"
827,Rene Kronvold,,5-1-0,"5' 8""",170 lbs.,--,Orthodox,--
828,Denis Kang,,34-15-2 (2 NC),"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977"
829,Imani Lee,,2-3-0,--,--,--,Orthodox,--
830,Sterling Ford,,13-5-0,"5' 10""",155 lbs.,--,,"Mar 12, 1986"
831,Dave Martin,,0-2-0,"6' 0""",205 lbs.,--,,--
832,Shoji Maruyama,,10-7-1,"5' 7""",139 lbs.,--,Orthodox,"Apr 24, 1983"
833,Oliver Enkamp,The Future,7-2-0,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991"
834,Nate Quarry,Rock,12-4-0,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972"
835,Chance Farrar,,8-3-0 (1 NC),"5' 9""",145 lbs.,--,Southpaw,"Sep 11, 1975"
836,Bill Cooper,,2-1-0,--,155 lbs.,--,,"May 05, 1984"
837,Bojan Velickovic,Serbian Steel,15-6-1,"6' 0""",170 lbs.,"76""",Southpaw,"Dec 18, 1988"
838,Suman Mokhtarian,,8-1-0,"5' 10""",145 lbs.,"67""",Orthodox,"Jun 13, 1992"
839,Beneil Dariush,,15-4-1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989"
840,Zelim Imadaev,,8-0-0,"6' 0""",170 lbs.,--,,"Jan 25, 1995"
841,Trevor Harris,,2-2-0,"5' 6""",145 lbs.,--,,--
842,Jens Pulver,Little Evil,25-15-1,"5' 7""",145 lbs.,"70""",Southpaw,"Dec 06, 1974"
843,Khomkrit Niimi,The Bumblebee,6-10-0,"5' 2""",125 lbs.,--,,--
844,Rory Markham,,16-6-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982"
845,Casey Ryan,,3-3-0,--,185 lbs.,--,,--
846,Andrei Kopylov,,5-10-0,"6' 2""",265 lbs.,--,Orthodox,"Jul 16, 1965"
847,Heather Jo Clark,Hurricane,7-6-0,"5' 6""",115 lbs.,"64""",,"Sep 19, 1980"
848,Andrew Sanchez,El Dirte,11-4-0,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988"
849,Travis Galbraith,The Gladiator,18-7-0,"6' 0""",170 lbs.,--,Orthodox,"May 18, 1981"
850,Rogerio Nogueira,Minotouro,23-8-0,"6' 2""",205 lbs.,"75""",Southpaw,"Jun 02, 1976"
851,Jonatas Novaes,,9-3-0,"5' 11""",170 lbs.,--,,"Mar 02, 1981"
852,Peter Sobotta,,17-6-1,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987"
853,Mike Dolce,Skull Cracker,5-10-0,"5' 11""",185 lbs.,--,,"Apr 15, 1976"
854,James Mulheron,The Juggernaut,11-2-0,"5' 10""",243 lbs.,"73""",Orthodox,"Feb 20, 1988"
855,Steve Mann,,12-5-0,"6' 1""",170 lbs.,--,,--
856,Jessica Andrade,Bate Estaca,19-6-0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991"
857,Antonio Mendes,Samurai,17-10-0,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981"
858,Jesse Ronson,The Body Snatcher,19-8-0,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 24, 1985"
859,Sheymon Moraes,,11-2-0,"5' 8""",145 lbs.,"72""",Orthodox,"Oct 11, 1990"
860,Justin Salas,J-Bomb,12-7-0,"5' 8""",155 lbs.,"70""",Southpaw,"Mar 13, 1982"
861,Adam Schindler,,9-3-0,"5' 8""",155 lbs.,--,,"May 19, 1983"
862,Turrell Galloway,,5-2-0,"5' 3""",145 lbs.,--,,--
863,Besam Yousef,,6-2-0,"5' 11""",170 lbs.,"71""",Orthodox,"Mar 25, 1985"
864,Rickson Gracie,,11-0-0,"5' 10""",185 lbs.,--,Switch,"Nov 20, 1958"
865,Angel De Anda,The Dream,18-6-0,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985"
866,Rose Namajunas,Thug,9-3-0,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992"
867,Thiago Santos,Marreta,20-6-0,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984"
868,Marcus Bossett,The Grasshopper,1-3-0,"6' 1""",215 lbs.,--,Orthodox,--
869,Brian Geraghty,Duke,24-17-1,"5' 7""",155 lbs.,--,Orthodox,"Nov 04, 1980"
870,Jesse Forbes,Kid Hercules,15-5-0,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984"
871,Shane Campbell,Shaolin,12-6-0,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987"
872,Sean Gannon,The Cannon,2-1-0,"6' 3""",265 lbs.,--,Southpaw,--
873,Brandon Girtz,Cold Roll,14-7-0,"5' 7""",155 lbs.,--,,"Mar 06, 1985"
874,Dustin Ortiz,,19-8-0,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 25, 1988"
875,Kelvin Gastelum,,16-3-0 (1 NC),"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991"
876,Jay Hieron,The Thoroughbred,23-7-0,"6' 0""",170 lbs.,"75""",Orthodox,"Jul 29, 1976"
877,Tim Lajcik,The Bohemian,7-6-1,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965"
878,Carlos Felipe,Boi,8-0-0,"6' 0""",245 lbs.,--,,"Jan 12, 1995"
879,Jason Ireland,The Irish Tornado,18-8-1,"5' 9""",161 lbs.,--,Southpaw,"Dec 30, 1979"
880,Bryan Pardoe,Pain Inducer,12-16-0,"6' 1""",205 lbs.,--,Orthodox,--
881,Khalid Taha,The Warrior,12-2-0,"5' 5""",145 lbs.,"69""",Orthodox,"Feb 15, 1992"
882,Bret Bergmark,The Angry Hick,6-1-1,"5' 9""",170 lbs.,--,,"Nov 24, 1973"
883,James Thompson,The Colossus,16-14-0 (1 NC),"6' 5""",265 lbs.,--,Orthodox,"Dec 16, 1978"
884,Mike Massenzio,The Master of Disaster,13-6-0,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982"
885,Jamie Colleen,,4-1-0,"5' 3""",115 lbs.,"65""",Orthodox,"Nov 02, 1985"
886,Patrick Murphy,,4-3-0,"6' 0""",170 lbs.,--,,--
887,Maurice Greene,The Crochet Boss,6-3-0,"6' 7""",258 lbs.,"82""",,"Jul 05, 1986"
888,Casey Olson,The Underdog,12-3-0,"5' 7""",145 lbs.,--,Orthodox,--
889,Dominick Reyes,The Devastator,10-0-0,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989"
890,Cesar Marscucci,,2-2-0,--,--,--,,--
891,Adam Hunter,Warhammer,7-1-0,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 16, 1983"
892,Yoko Takahashi,,15-12-2,"5' 8""",150 lbs.,--,,"Apr 20, 1973"
893,Jay Silva,,7-5-1,"6' 2""",185 lbs.,--,Southpaw,--
894,Maurice Eazel,,7-15-0,"5' 7""",135 lbs.,--,,--
895,Paul Felder,The Irish Dragon,16-4-0,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984"
896,Kaitlin Young,,5-5-1,"5' 9""",135 lbs.,--,Orthodox,"Sep 15, 1985"
897,Bobby Moffett,The Wolfman,14-3-0,"5' 10""",145 lbs.,"74""",Orthodox,"Jun 01, 1990"
898,Marcio Cruz,Pe de Pano,7-3-0,"6' 4""",232 lbs.,--,Orthodox,"Apr 24, 1978"
899,Crezio de Souza,,1-2-0,--,170 lbs.,--,Orthodox,--
900,Brooke Mayo,The Bully,0-1-0,"5' 7""",125 lbs.,--,,--
901,Jong Man Kim,Special Force,22-11-3 (1 NC),"5' 7""",139 lbs.,--,Orthodox,"Mar 03, 1978"
902,Josh Hendricks,,18-7-0 (1 NC),"6' 2""",235 lbs.,--,Southpaw,"Aug 28, 1976"
903,Drew McFedries,The Massacre,10-6-0,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978"
904,John Maguire,The One,18-6-0,"5' 9""",155 lbs.,"69""",Southpaw,"May 19, 1983"
905,Issac DeJesus,,9-3-1 (1 NC),--,145 lbs.,--,,--
906,Javier Vazquez,Showtime,16-5-0,"5' 7""",145 lbs.,"69""",Southpaw,"Jul 16, 1977"
907,Anthony Avila,,6-1-0,"5' 7""",145 lbs.,--,,"Dec 29, 1988"
