,fighter_1,fighter_2,end_round,end_time,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
2617,"Vinny Magalhaes ""Pezao""","Anthony Perosh ""The Hippo""",1,0:14,"Vinny Magalhaes ""Pezao""",http://ufcstats.com/fight-details/4c6030fafb46330f,2013-08-03,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,8,13,8,13,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,8,13,0,0,0,0,1,1,0,0,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,"Amanda Nunes ""Lioness""","Sheila Gaff ""The German Tank""",1,2:08,"Amanda Nunes ""Lioness""",http://ufcstats.com/fight-details/168413032bb51ce0,2013-08-03,0,10,16,16,25,2,3,0,2,0,9,14,1,2,0,0,1,3,0,0,9,13,0,3,8,5,10,0,0,0,1,0,9,14,1,2,0,0,1,3,0,0,9,13,0,10,16,16,25,2,3,0,2,0,1,4,2,3,0,1,1,5,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,"Sergio Moraes ""The Panther""",Neil Magny,1,3:13,"Sergio Moraes ""The Panther""",http://ufcstats.com/fight-details/3846db1456151f80,2013-08-03,0,13,20,13,20,1,1,1,3,0,12,19,0,0,1,1,4,9,0,0,9,11,0,7,29,9,31,0,0,0,0,0,12,19,0,0,1,1,4,9,0,0,9,11,0,13,20,13,20,1,1,1,3,0,6,27,0,1,1,1,7,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,"Ian McCall ""Uncle Creepy""",Iliarde Santos,3,5:00,"Ian McCall ""Uncle Creepy""",http://ufcstats.com/fight-details/5f2065f737591226,2013-08-03,0,34,78,42,86,0,0,0,1,0,14,45,6,14,14,19,30,69,1,1,3,8,0,12,46,14,48,0,2,0,0,0,14,45,6,14,14,19,30,69,1,1,3,8,0,34,78,42,86,0,0,0,1,0,10,44,1,1,1,1,12,46,0,0,0,0,0,16,59,16,60,1,1,0,0,0,10,44,2,9,19,24,30,74,0,1,1,2,0,31,77,35,82,0,2,0,0,0,11,54,4,4,1,1,14,54,0,3,2,2,0,15,67,16,68,0,4,0,0,0,10,50,6,7,11,14,26,66,1,5,0,0,0,27,71,27,73,1,3,0,0,0,11,60,2,5,2,2,15,65,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,Rani Yahya,"Josh Clopton ""The Gentleman""",3,5:00,Rani Yahya,http://ufcstats.com/fight-details/bf6857338637013b,2013-08-03,0,9,19,39,49,0,1,1,3,1,9,15,0,1,0,3,3,12,0,0,6,7,0,0,2,10,14,0,0,0,0,0,9,15,0,1,0,3,3,12,0,0,6,7,0,9,19,39,49,0,1,1,3,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,7,9,0,0,0,0,0,3,12,1,1,0,2,0,8,0,0,4,7,0,4,15,86,99,1,2,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,9,40,46,0,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,0,1,6,10,15,1,4,0,0,0,4,8,1,1,0,0,3,6,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,"Ednaldo Oliveira ""Lula""","Francimar Barroso ""Bodao""",3,5:00,"Ednaldo Oliveira ""Lula""",http://ufcstats.com/fight-details/7b97ca2c378e7782,2013-08-03,0,5,32,5,32,0,0,0,0,0,5,29,0,3,0,0,5,32,0,0,0,0,0,12,29,15,32,0,0,0,0,0,5,29,0,3,0,0,5,32,0,0,0,0,0,5,32,5,32,0,0,0,0,0,2,18,2,2,8,9,12,29,0,0,0,0,0,11,22,30,41,1,2,0,0,0,8,25,1,2,1,1,4,17,1,3,5,8,0,10,28,18,38,0,0,0,0,0,5,15,2,3,4,4,7,16,2,4,2,2,0,8,12,24,30,1,3,0,1,0,0,7,4,4,0,0,0,6,4,5,0,0,0,4,11,7,14,0,1,0,0,0,3,7,3,3,2,2,0,4,8,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,Viscardi Andrade,Bristol Marunde,1,1:36,Viscardi Andrade,http://ufcstats.com/fight-details/4f8b6eecb0361290,2013-08-03,1,12,18,12,18,0,0,0,0,0,9,15,1,1,2,2,8,11,0,0,4,7,0,0,17,0,17,0,0,0,0,0,9,15,1,1,2,2,8,11,0,0,4,7,1,12,18,12,18,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,"Demetrious Johnson ""Mighty Mouse""","John Moraga ""Chicano""",5,3:43,"Demetrious Johnson ""Mighty Mouse""",http://ufcstats.com/fight-details/edc00a33666b0b59,2013-07-27,0,10,20,16,26,1,1,1,1,0,5,12,1,3,4,5,6,15,2,3,2,2,0,11,26,16,34,0,0,0,0,0,5,12,1,3,4,5,6,15,2,3,2,2,0,10,20,16,26,1,1,1,1,0,2,16,5,6,4,4,9,22,2,2,0,2,0,8,16,13,22,0,1,0,0,0,5,10,6,6,7,8,4,6,1,1,13,17,0,18,24,42,51,3,3,0,3,0,5,12,2,2,1,2,2,9,3,3,3,4,0,9,19,14,25,1,2,0,0,0,1,2,1,3,4,5,4,7,1,2,1,1,0,6,10,13,22,2,2,1,3,0,4,14,3,3,2,2,3,11,4,6,2,2,0,3,10,8,15,0,2,0,0,0,4,10,9,10,6,7,8,11,6,9,5,7,0,19,27,26,36,3,3,0,2,0,1,6,1,3,1,1,2,8,1,2,0,0,0,1,5,2,7,0,0,0,0,0,5,5,6,6,3,3,3,3,0,0,11,11
2625,"Rory MacDonald ""Red King""","Jake Ellenberger ""The Juggernaut""",3,5:00,"Rory MacDonald ""Red King""",http://ufcstats.com/fight-details/3f14c96ea899321d,2013-07-27,0,15,37,15,37,0,0,0,0,0,13,34,2,3,0,0,15,37,0,0,0,0,0,5,29,5,29,0,0,0,0,0,13,34,2,3,0,0,15,37,0,0,0,0,0,15,37,15,37,0,0,0,0,0,5,27,0,1,0,1,4,28,1,1,0,0,0,4,36,5,37,0,1,0,0,0,11,33,2,4,0,0,11,34,2,3,0,0,0,13,37,13,37,0,1,0,0,0,2,33,1,1,1,2,4,34,0,2,0,0,0,10,32,17,40,1,2,0,0,0,13,35,5,9,0,0,18,44,0,0,0,0,0,18,44,20,46,0,0,0,0,0,9,29,1,3,0,0,9,31,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,"Robbie Lawler ""Ruthless""","Bobby Voelker ""Vicious""",2,0:24,"Robbie Lawler ""Ruthless""",http://ufcstats.com/fight-details/f747701638da90ae,2013-07-27,0,25,41,29,46,1,1,0,1,0,19,34,5,6,1,1,19,33,6,7,0,1,0,9,39,10,41,0,0,0,0,0,19,34,5,6,1,1,19,33,6,7,0,1,0,25,41,29,46,1,1,0,1,0,5,32,2,3,2,4,8,37,1,2,0,0,0,1,3,1,3,0,0,0,0,0,3,5,0,0,0,0,2,4,0,0,1,1,1,3,5,3,5,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,"Liz Carmouche ""Girlrilla""","Jessica Andrade ""Bate Estaca""",2,3:57,"Liz Carmouche ""Girlrilla""",http://ufcstats.com/fight-details/c543563958093446,2013-07-27,0,6,7,35,40,2,2,0,4,0,4,5,0,0,2,2,4,4,1,2,1,1,0,7,9,11,14,1,1,1,0,0,4,5,0,0,2,2,4,4,1,2,1,1,0,6,7,35,40,2,2,0,4,0,2,4,3,3,2,2,1,2,5,5,1,2,0,3,6,3,6,0,0,0,0,0,41,73,1,1,2,2,2,5,0,0,42,71,0,44,76,79,126,1,1,1,4,0,1,4,1,1,1,1,3,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,"Michael Chiesa ""Maverick""","Jorge Masvidal ""Gamebred""",2,4:59,"Michael Chiesa ""Maverick""",http://ufcstats.com/fight-details/900ae72adbf7c49f,2013-07-27,1,22,43,28,50,1,3,0,0,0,17,37,5,6,0,0,21,41,1,1,0,1,0,12,24,23,37,0,0,0,0,0,17,37,5,6,0,0,21,41,1,1,0,1,1,22,43,28,50,1,3,0,0,0,7,19,5,5,0,0,12,24,0,0,0,0,0,12,14,43,49,0,0,2,3,0,1,9,0,0,1,1,2,10,0,0,0,0,0,2,10,7,16,1,2,0,0,0,8,10,4,4,0,0,5,7,0,0,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,"Danny Castillo ""Last Call""","Tim Means ""The Dirty Bird""",3,5:00,"Danny Castillo ""Last Call""",http://ufcstats.com/fight-details/dbd0ffc84699ad6b,2013-07-27,0,3,7,30,35,3,3,0,0,0,1,5,2,2,0,0,3,6,0,0,0,1,0,5,8,73,79,0,0,0,0,0,1,5,2,2,0,0,3,6,0,0,0,1,0,3,7,30,35,3,3,0,0,0,4,7,1,1,0,0,4,7,1,1,0,0,0,12,33,25,46,0,0,0,0,0,5,26,3,5,2,2,9,32,0,0,1,1,0,10,33,17,41,2,3,0,0,0,6,25,5,7,1,1,11,32,1,1,0,0,0,21,52,28,59,0,0,0,1,1,11,37,0,1,1,1,12,39,0,0,0,0,0,12,39,12,39,1,2,0,0,0,9,38,9,11,3,3,17,48,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,Mac Danzig,"Melvin Guillard ""The Young Assassin""",2,2:47,Mac Danzig,http://ufcstats.com/fight-details/7ec61e2b0728e6d4,2013-07-27,0,13,33,14,34,0,0,0,0,0,3,23,3,3,7,7,12,32,1,1,0,0,0,23,56,23,56,0,0,0,0,0,3,23,3,3,7,7,12,32,1,1,0,0,0,13,33,14,34,0,0,0,0,0,14,46,5,6,4,4,20,53,3,3,0,0,1,16,32,20,36,0,0,0,0,0,5,16,1,2,4,5,10,23,0,0,0,0,0,10,23,10,23,0,1,0,0,0,13,29,3,3,0,0,10,25,0,0,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,Yves Edwards,"Daron Cruickshank ""Detroit Superstar""",3,5:00,Yves Edwards,http://ufcstats.com/fight-details/cf6b9a001b0824de,2013-07-27,0,17,40,17,40,0,0,0,0,0,5,26,3,4,9,10,17,40,0,0,0,0,0,14,44,14,44,0,0,0,0,0,5,26,3,4,9,10,17,40,0,0,0,0,0,17,40,17,40,0,0,0,0,0,6,32,6,10,2,2,14,44,0,0,0,0,0,18,57,18,57,0,0,0,0,0,4,35,9,12,5,6,18,53,0,0,0,0,0,18,53,18,53,0,0,0,0,0,6,38,12,19,0,0,18,57,0,0,0,0,0,12,41,12,41,0,1,0,0,0,1,18,1,3,11,12,13,32,0,1,0,0,0,13,33,13,35,0,0,0,0,0,3,25,7,14,2,2,12,41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,"Ed Herman ""Short Fuse""","Trevor Smith ""Hot Sauce""",3,5:00,"Ed Herman ""Short Fuse""",http://ufcstats.com/fight-details/c5603628f7ae84d3,2013-07-27,0,41,59,64,83,0,1,0,0,0,25,43,16,16,0,0,18,36,23,23,0,0,0,36,45,44,55,0,2,0,0,0,25,43,16,16,0,0,18,36,23,23,0,0,0,41,59,64,83,0,1,0,0,0,15,24,11,11,10,10,20,26,16,19,0,0,0,25,31,34,41,1,2,0,0,0,12,29,5,7,0,0,12,29,5,7,0,0,0,17,36,35,54,1,2,0,1,0,12,17,8,8,5,6,17,23,8,8,0,0,0,26,32,34,40,0,1,1,0,0,9,27,6,7,0,0,11,29,4,5,0,0,0,15,34,28,50,1,2,1,1,0,10,15,7,8,9,9,19,25,7,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,Julie Kedzie,"Germaine de Randamie ""The Iron Lady""",3,5:00,Julie Kedzie,http://ufcstats.com/fight-details/dbab923a090fe93f,2013-07-27,0,13,22,25,34,0,3,0,0,0,2,11,5,5,6,6,7,15,6,7,0,0,0,25,32,33,40,0,0,0,0,0,2,11,5,5,6,6,7,15,6,7,0,0,0,13,22,25,34,0,3,0,0,0,2,9,16,16,7,7,3,7,22,25,0,0,0,6,16,11,22,0,0,0,0,0,2,21,2,2,4,4,8,27,0,0,0,0,0,8,27,29,48,1,1,0,1,0,2,12,1,1,3,3,6,16,0,0,0,0,0,19,34,38,53,0,0,0,0,0,2,22,4,4,1,1,5,25,2,2,0,0,0,7,27,19,45,1,5,0,0,0,5,19,7,7,7,8,7,22,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,Aaron Riley,"Justin Salas ""J-Bomb""",3,5:00,Aaron Riley,http://ufcstats.com/fight-details/b616969d55fb2d7a,2013-07-27,0,8,53,8,53,0,0,0,0,0,3,39,3,10,2,4,8,53,0,0,0,0,0,18,48,18,48,2,3,0,0,0,3,39,3,10,2,4,8,53,0,0,0,0,0,8,53,8,53,0,0,0,0,0,14,39,1,4,3,5,16,46,1,1,1,1,0,20,52,21,53,1,3,0,0,0,5,42,1,8,2,2,6,50,2,2,0,0,0,8,52,8,52,0,0,0,0,0,12,41,4,6,4,5,13,44,6,7,1,1,0,16,40,19,43,0,3,0,0,0,2,42,4,16,4,9,9,66,1,1,0,0,0,10,67,10,67,0,0,0,0,0,12,35,2,2,2,3,15,37,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,"John Albert ""Prince""",Yaotzin Meza,2,2:49,"John Albert ""Prince""",http://ufcstats.com/fight-details/9cb8fe20b05d886e,2013-07-27,0,3,9,6,12,0,0,1,1,0,0,6,1,1,2,2,2,8,0,0,1,1,0,3,3,21,21,1,1,2,1,0,0,6,1,1,2,2,2,8,0,0,1,1,0,3,9,6,12,0,0,1,1,0,2,2,0,0,1,1,2,2,0,0,1,1,0,1,4,8,12,0,1,2,1,0,0,2,0,0,1,1,1,2,0,1,0,0,0,1,3,3,5,0,0,2,0,0,0,2,0,0,1,2,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,"Anderson Silva ""The Spider""","Chris Weidman ""The All-American""",2,1:18,"Anderson Silva ""The Spider""",http://ufcstats.com/fight-details/9a6a6716cdfadc98,2013-07-06,0,9,18,15,26,0,0,0,0,0,4,11,1,2,4,5,9,18,0,0,0,0,0,11,27,21,39,1,2,2,1,0,4,11,1,2,4,5,9,18,0,0,0,0,0,9,18,15,26,0,0,0,0,0,11,26,0,1,0,0,6,14,0,0,5,13,1,5,16,5,16,0,1,0,0,0,0,1,0,0,5,5,5,6,0,0,0,0,0,5,6,5,6,0,0,0,0,0,5,16,0,0,0,0,2,11,0,0,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,"Frankie Edgar ""The Answer""","Charles Oliveira ""Do Bronx""",3,5:00,"Frankie Edgar ""The Answer""",http://ufcstats.com/fight-details/6453b20a65c62cfe,2013-07-06,0,24,47,31,55,0,0,0,0,0,13,35,8,9,3,3,18,41,2,2,4,4,0,12,37,20,45,0,2,0,0,0,13,35,8,9,3,3,18,41,2,2,4,4,0,24,47,31,55,0,0,0,0,0,9,28,3,7,0,2,8,32,2,3,2,2,0,15,49,24,58,0,1,1,0,0,16,33,7,10,0,0,16,35,0,1,7,7,0,23,43,34,56,2,4,0,0,0,8,38,3,7,4,4,14,48,1,1,0,0,0,11,39,15,43,0,1,0,0,0,24,44,8,10,2,2,27,46,2,2,5,8,0,34,56,49,71,0,1,0,0,0,10,35,1,3,0,1,9,37,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,Tim Kennedy,Roger Gracie,3,5:00,Tim Kennedy,http://ufcstats.com/fight-details/b57f68fa967fa59e,2013-07-06,0,5,15,20,32,0,1,0,0,1,0,8,1,1,4,6,4,12,1,1,0,2,0,7,10,8,11,2,2,0,1,0,0,8,1,1,4,6,4,12,1,1,0,2,0,5,15,20,32,0,1,0,0,1,4,7,3,3,0,0,3,6,3,3,1,1,0,4,8,5,9,0,0,0,0,0,15,24,7,7,4,5,6,12,9,9,11,15,0,26,36,44,56,2,2,0,1,0,3,7,0,0,1,1,2,6,2,2,0,0,0,1,11,1,11,0,2,0,0,0,6,17,2,5,15,19,15,31,8,10,0,0,0,23,41,37,57,0,1,0,0,0,1,8,0,2,0,1,0,10,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,"Mark Munoz ""The Filipino Wrecking Machine""","Tim Boetsch ""The Barbarian""",3,5:00,"Mark Munoz ""The Filipino Wrecking Machine""",http://ufcstats.com/fight-details/8c124a6196e39ad8,2013-07-06,0,13,24,25,36,2,4,0,0,0,7,17,6,6,0,1,2,5,8,16,3,3,0,17,23,32,39,1,2,1,1,1,7,17,6,6,0,1,2,5,8,16,3,3,0,13,24,25,36,2,4,0,0,0,6,9,6,9,5,5,5,10,10,11,2,2,0,5,14,17,26,0,1,0,0,0,8,14,18,22,2,2,1,6,3,5,24,27,0,28,38,55,67,2,4,0,0,0,2,7,3,7,0,0,5,10,0,4,0,0,0,1,4,1,4,0,0,2,0,0,21,33,7,7,0,0,2,4,1,2,25,34,0,28,40,52,68,1,2,2,1,0,1,4,0,0,0,0,1,2,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,Cub Swanson,Dennis Siver,3,2:24,Cub Swanson,http://ufcstats.com/fight-details/c3601529b7a7d489,2013-07-06,0,3,13,6,16,0,0,0,0,0,0,9,0,1,3,3,3,13,0,0,0,0,0,10,36,38,66,1,1,0,2,0,0,9,0,1,3,3,3,13,0,0,0,0,0,3,13,6,16,0,0,0,0,0,4,25,3,4,3,7,8,32,0,0,2,4,0,12,75,12,75,0,2,0,0,1,12,37,4,6,1,6,11,40,0,0,6,9,0,17,49,18,50,1,1,0,1,0,4,59,3,5,5,11,12,75,0,0,0,0,0,4,33,4,33,0,1,0,0,0,20,35,2,2,1,2,15,26,0,0,8,13,1,23,39,23,39,0,0,0,0,0,2,27,0,1,2,5,4,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,"Chris Leben ""The Crippler""","Andrew Craig ""Highlight""",3,5:00,"Chris Leben ""The Crippler""",http://ufcstats.com/fight-details/701279417e0bf776,2013-07-06,0,13,22,55,65,0,4,0,0,0,6,12,5,7,2,3,8,16,5,6,0,0,0,15,23,37,46,0,1,0,0,0,6,12,5,7,2,3,8,16,5,6,0,0,0,13,22,55,65,0,4,0,0,0,9,17,4,4,2,2,11,18,4,5,0,0,0,27,43,38,54,0,0,0,0,0,6,21,1,1,1,3,7,24,1,1,0,0,0,8,25,38,58,0,2,0,0,0,21,37,3,3,3,3,21,36,6,7,0,0,0,22,35,45,60,2,2,0,4,0,5,12,1,2,3,5,9,18,0,1,0,0,0,9,19,34,49,0,1,0,0,0,20,33,2,2,0,0,14,24,2,2,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
