,name,nick_name,fight_record,height,weight,reach,stance,DOB
264,Josh Ferguson,Taz,7-5-0,"5' 5""",125 lbs.,"66""",Orthodox,"May 13, 1988"
265,Tsuyoshi Tamakairiki,,0-3-0,"6' 0""",220 lbs.,--,Orthodox,--
266,Zach Underwood,,8-4-0,"6' 2""",185 lbs.,--,,--
267,Fabiano Iha,,9-5-0,"5' 8""",155 lbs.,--,Orthodox,"Jul 28, 1970"
268,Nad Narimani,Smiler,12-2-0,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987"
269,Crafton Wallace,Blaze,18-6-1,"6' 0""",185 lbs.,--,Orthodox,"Nov 10, 1975"
270,Neil Magny,,21-8-0,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987"
271,Rafael Natal,Sapo,21-9-1,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 25, 1982"
272,Rodrigo Damm,,12-9-0,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980"
273,Yusuke Kasuya,,9-3-2,"5' 7""",155 lbs.,"67""",Southpaw,"Nov 16, 1989"
274,John Salgado,Greco,4-7-1,"5' 10""",170 lbs.,--,,--
275,Vinicius Magalhaes,Draculinho,2-1-0,--,145 lbs.,--,,"Jul 30, 1971"
276,Israel Adesanya,The Last Stylebender,16-0-0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989"
277,Aleksandar Rakic,,11-1-0,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
278,Dan O'Connor,Johnny Irish,6-6-0 (1 NC),"5' 4""",115 lbs.,--,,"Nov 17, 1982"
279,Lucas Gamaza,,5-2-0,--,170 lbs.,--,,--
280,Jeremy Lang,,21-2-0,"5' 11""",205 lbs.,--,Southpaw,"May 11, 1975"
281,Nick Agallar,,24-6-0,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979"
282,Hector Ramirez,Sick Dog,9-4-1,"6' 0""",205 lbs.,--,Orthodox,"Mar 28, 1976"
283,Eugene Jackson,The Wolf,15-9-1,"5' 8""",185 lbs.,--,Orthodox,"Sep 23, 1966"
284,Edwin Aguilar,Tigre,22-16-0 (1 NC),"5' 10""",185 lbs.,--,,--
285,Cat Zingano,Alpha,10-4-0,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982"
286,Mickey Gall,,5-1-0,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992"
287,John Elam,,2-0-0,--,--,--,,--
288,Jason Jackson,Jah-Son,7-2-0,"6' 1""",170 lbs.,"78""",Orthodox,"Oct 30, 1990"
289,Chuck O'Neil,Cold Steel,9-4-0,"6' 2""",170 lbs.,--,,"Sep 22, 1985"
290,Tae Hyun Bang,The Korean Cowboy,18-10-0,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983"
291,Jordan Bailey,,6-3-0,"5' 9""",145 lbs.,--,,--
292,Kazuki Okubo,,7-9-0,"5' 11""",175 lbs.,--,Orthodox,--
293,Teemu Packalen,Pacu,8-2-0,"6' 1""",155 lbs.,"72""",Orthodox,"May 22, 1987"
294,Kevin Aguilar,The Angel of Death,16-1-0,"5' 7""",145 lbs.,"72""",Orthodox,"Sep 07, 1988"
295,Steve Ramirez,,5-2-0,"5' 7""",125 lbs.,--,,--
296,Katsuya Inoue,,19-9-4,"5' 9""",168 lbs.,--,Southpaw,"Aug 10, 1979"
297,Tom Gallicchio,Da Tank,19-11-0,"5' 10""",170 lbs.,"73""",Southpaw,"Sep 23, 1986"
298,Sean Salmon,,18-17-0,"5' 10""",185 lbs.,--,Southpaw,"Sep 11, 1977"
299,Fabricio Camoes,Morango,14-9-1,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 23, 1978"
300,Jessica Rakoczy,The Ragin',2-5-0 (1 NC),"5' 7""",115 lbs.,"68""",Orthodox,"Apr 14, 1977"
301,Yves Jabouin,Tiger,20-11-0,"5' 7""",135 lbs.,"68""",Orthodox,"May 30, 1979"
302,Justin Salas,J-Bomb,12-7-0,"5' 8""",155 lbs.,"70""",Southpaw,"Mar 13, 1982"
303,Cory Walmsley,Hardcore,8-2-0,"6' 0""",205 lbs.,--,Orthodox,--
304,Naoya Ogawa,,7-2-0,"6' 4""",255 lbs.,--,Orthodox,"Mar 31, 1968"
305,Akihito Tanaka,Kinniku Mantaro,2-2-0,--,--,--,Southpaw,--
306,Dave Galera,Scarecrow,5-1-0,"5' 11""",135 lbs.,--,Orthodox,"Jan 12, 1978"
307,Raquel Pa'aluhi,Rocky,3-4-0,"5' 7""",135 lbs.,--,,--
308,Jason Tan,,5-3-0,"5' 10""",170 lbs.,--,Orthodox,"Dec 17, 1981"
309,Bibiano Fernandes,,10-3-0,"5' 7""",139 lbs.,--,Orthodox,"Mar 30, 1980"
310,Luke Zachrich,,14-4-0,"6' 2""",185 lbs.,"74""",Orthodox,"Dec 19, 1981"
311,Jake Ellenberger,The Juggernaut,31-15-0,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985"
312,Yui Chul Nam,The Korean Bulldozer,18-6-1,"5' 9""",145 lbs.,"69""",Orthodox,"Jul 16, 1981"
313,Jason Lambert,The Punisher,25-12-0,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975"
314,Alavutdin Gadjiev,,18-12-1,"6' 2""",185 lbs.,--,Orthodox,"Jun 23, 1982"
315,Brian Ebersole,Bad Boy,51-17-1 (1 NC),"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980"
316,Alvin Cacdac,,16-11-0,"5' 6""",125 lbs.,--,Orthodox,--
317,Alex Karalexis,The Assassin,10-6-0,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977"
318,Yusup Saadulaev,Maestro,8-1-1 (1 NC),"5' 6""",135 lbs.,--,,"Mar 31, 1985"
319,Rafaello Oliveira,Tractor,15-7-0,"5' 8""",155 lbs.,"71""",Orthodox,"Jan 26, 1982"
320,Guilherme Vasconcelos,Bomba,3-2-0,"6' 0""",185 lbs.,"74""",Orthodox,"Mar 23, 1986"
321,Masakazu Imanari,,24-9-2,"5' 4""",139 lbs.,--,Southpaw,"Feb 10, 1976"
322,Dimitiri Wanderley,,5-2-0,--,205 lbs.,--,Orthodox,--
323,Mike Easton,The Hulk,13-5-0,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984"
324,Keith Jardine,The Dean of Mean,17-10-2,"6' 2""",185 lbs.,"76""",Orthodox,"Oct 31, 1975"
325,Jamie Yager,The Chosyn 1,5-2-0,"6' 1""",185 lbs.,--,Orthodox,"Nov 29, 1983"
326,Chad Laprise,The Disciple,14-4-0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986"
327,Brendan O'Reilly,Badger,6-3-0 (1 NC),"5' 7""",170 lbs.,"69""",Orthodox,"Jun 24, 1987"
328,Eugenio Tadeu,,2-3-0 (1 NC),"5' 8""",160 lbs.,--,Orthodox,--
329,Gary Padilla,,12-6-0,"5' 11""",205 lbs.,--,,"May 04, 1980"
330,Marko Damiani,,0-2-0,"6' 0""",170 lbs.,--,,--
331,Fabio Nascimento,Negao,11-5-0,"5' 10""",185 lbs.,--,Orthodox,--
332,Michael Page,Venom,12-0-0,"6' 2""",170 lbs.,--,,"Apr 07, 1987"
333,Kevin Randleman,The Monster,17-16-0,"5' 10""",205 lbs.,--,Orthodox,"Aug 10, 1971"
334,Daisuke Nakamura,,24-13-1,"5' 7""",154 lbs.,--,Orthodox,"Jun 10, 1980"
335,Derek Campos,The Stallion,19-6-0,"5' 9""",155 lbs.,--,,"Apr 01, 1988"
336,Keiichiro Yamamiya,,40-27-10,"5' 11""",185 lbs.,--,Southpaw,"Jul 12, 1972"
337,Marques Daniels,,5-5-0,--,155 lbs.,--,,--
338,John Paul Elias,,3-1-0,"6' 4""",205 lbs.,--,,--
339,Valeri Ignatov,,1-2-0,"5' 9""",170 lbs.,--,Orthodox,--
340,Eric Jacob,,1-9-0,--,155 lbs.,--,,--
341,Bryan Pardoe,Pain Inducer,12-16-0,"6' 1""",205 lbs.,--,Orthodox,--
342,Raou Raou,,0-1-0,"5' 8""",195 lbs.,--,Orthodox,--
343,Kazuhiro Hamanaka,,5-7-1,"6' 0""",185 lbs.,--,Southpaw,"Oct 24, 1978"
344,Jason Ireland,The Irish Tornado,18-8-1,"5' 9""",161 lbs.,--,Southpaw,"Dec 30, 1979"
345,Seohee Ham,,16-8-0,"5' 2""",115 lbs.,"62""",Southpaw,"Mar 08, 1987"
346,Fredson Paixao,,10-4-0 (1 NC),"5' 6""",145 lbs.,"66""",Orthodox,"May 13, 1979"
347,Craig Zellner,Big Z,4-3-0,"6' 2""",205 lbs.,--,Orthodox,"Sep 09, 1976"
348,Brian Camozzi,Mantis,7-5-0,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991"
349,Aleksei Oleinik,The Boa Constrictor,54-11-1,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
350,Kenyon Jackson,,4-3-0,"6' 0""",185 lbs.,--,,--
351,Wataru Sakata,,11-13-0,"5' 9""",195 lbs.,--,Southpaw,"Mar 11, 1973"
352,Will Campuzano,,13-6-0,"5' 9""",125 lbs.,"70""",Orthodox,"May 27, 1986"
353,Richard Dalton,,4-3-1,"6' 1""",205 lbs.,--,Orthodox,--
354,Naoki Inoue,,11-1-0,"5' 9""",125 lbs.,"71""",Orthodox,"Jun 14, 1997"
355,Joanna Jedrzejczyk,,15-3-0,"5' 6""",125 lbs.,"65""",Orthodox,"Aug 18, 1987"
356,Justin Edwards,Fast Eddy,9-5-0,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983"
357,Amber Tackett,,1-3-0,--,115 lbs.,--,,--
358,Yohan Banks,,2-1-0,--,--,--,,--
359,CJ Fernandes,,14-8-3,"6' 2""",170 lbs.,--,,"Nov 13, 1977"
360,Nick Pace,,6-3-0,"5' 7""",135 lbs.,"68""",Orthodox,"Apr 17, 1987"
361,James Wade,,4-10-0,"5' 10""",205 lbs.,--,,--
362,Petr Yan,No Mercy,11-1-0,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993"
363,Jon Koppenhaver,War Machine,11-4-0,"5' 11""",170 lbs.,--,Orthodox,"Nov 30, 1981"
364,Jared Hamman,The Messenger,13-6-0,"6' 3""",185 lbs.,"75""",Orthodox,"Mar 07, 1982"
365,Kemran Lachinov,,3-2-0,--,170 lbs.,--,,--
366,Isaac Vallie-Flagg,,14-6-1,"5' 8""",155 lbs.,"68""",Orthodox,"Apr 08, 1978"
367,Melinda Fabian,,4-4-2,"5' 6""",125 lbs.,"66""",,"Jun 25, 1987"
368,Tetsuji Kato,,20-10-0,--,155 lbs.,--,Orthodox,--
369,Kengo Ura,Uraken,10-8-2,"5' 9""",165 lbs.,--,,"Jun 20, 1981"
370,JP Felty,,1-2-0,--,170 lbs.,--,,"Apr 28, 1979"
371,Mike Jackson,The Truth,1-1-0,"6' 2""",170 lbs.,--,Orthodox,"Mar 22, 1985"
372,Maurice Eazel,,7-15-0,"5' 7""",135 lbs.,--,,--
373,Billy Vaughan,,11-9-0,"5' 6""",155 lbs.,--,,"Dec 02, 1983"
374,Neil Wain,Old School,10-3-0,"5' 10""",242 lbs.,--,Orthodox,--
375,Ali Bagautinov,Puncher,14-5-0,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
376,Jarjis Danho,Man Mountain,6-1-1 (1 NC),"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983"
377,Dennis Hallman,Superman,67-14-2 (1 NC),"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975"
378,Yazan Hajeh,Yazzle Dazzle,6-1-0,"5' 9""",145 lbs.,"73""",Orthodox,"Sep 04, 1992"
379,Jianping Yang,Tiger,7-4-1,"5' 7""",145 lbs.,"65""",Orthodox,"Nov 27, 1988"
380,Keita Nakamura,K-Taro,34-9-2 (1 NC),"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984"
381,Yusaku Nakamura,,3-2-1,"5' 5""",145 lbs.,--,,"Jun 21, 1986"
382,Jose Quinonez,Teco,8-2-0,"5' 8""",135 lbs.,"69""",,"Jul 28, 1990"
383,Larissa Pacheco,,10-2-0,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 07, 1994"
384,Reza Nasri,,2-1-0,"5' 11""",205 lbs.,--,Orthodox,--
385,Andre Walker,,1-5-0,"5' 11""",205 lbs.,--,Southpaw,--
386,Achmed Labasanov,,8-5-0,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978"
387,Ron van Clief,The Black Dragon,0-1-0,"5' 10""",190 lbs.,--,Orthodox,"Jan 25, 1943"
388,Josh Rafferty,,9-8-0,"6' 0""",170 lbs.,--,Orthodox,"Jan 06, 1981"
389,Trent Jenkins,,0-4-0,"6' 2""",185 lbs.,--,,--
390,Joe Camacho,,13-16-3,"5' 9""",155 lbs.,--,Orthodox,"Mar 10, 1972"
391,Hayato Sakurai,Mach,36-12-2,"5' 7""",168 lbs.,--,Orthodox,"Aug 24, 1975"
392,Roger Narvaez,Silverback,7-2-0,"6' 3""",185 lbs.,"79""",Southpaw,"Sep 09, 1983"
393,Akitoshi Tamura,The Ironman,16-11-2,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
394,Alexandre Dantas,Cafe,0-2-0,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979"
395,Paige VanZant,12 Gauge,8-4-0,"5' 4""",115 lbs.,"65""",Orthodox,"Mar 26, 1994"
396,Eric Galvan,,0-0-0,--,155 lbs.,--,,--
397,Bharat Kandare,Daring,5-3-0,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987"
398,Emmanuel Yarborough,,1-2-0,"6' 8""",770 lbs.,--,Open Stance,"Sep 05, 1960"
399,Shamil Abdurakhimov,Abrek,19-4-0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
400,Matt Van Buren,Gutter,7-4-0,"6' 5""",205 lbs.,"76""",,"Jun 12, 1986"
401,Chase Waldon,,11-2-0,"6' 1""",185 lbs.,"75""",Orthodox,"Sep 19, 1986"
402,Per Eklund,,14-5-1,"5' 10""",155 lbs.,"72""",Orthodox,--
403,Omari Akhmedov,Wolverine,17-4-1,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987"
404,Lloyd Van Dams,,0-1-0,"6' 1""",240 lbs.,--,Southpaw,"Mar 05, 1972"
405,Dean Hancock,The Hammer,2-1-0,--,155 lbs.,--,,--
406,Paul Felder,The Irish Dragon,15-4-0,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984"
407,Mike van Arsdale,,8-5-0,"6' 2""",205 lbs.,--,Switch,"Jun 20, 1965"
408,Kalindra Faria,,18-8-1,"5' 7""",125 lbs.,--,Switch,"Jul 23, 1986"
409,Anthony Hamilton,Freight Train,15-9-0,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980"
410,Reza Madadi,Mad Dog,14-6-0,"5' 11""",155 lbs.,"72""",Orthodox,"Jun 20, 1978"
411,Noad Lahat,Neo,9-2-0,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984"
412,Daniel Gallemore,Big Kansas,7-3-0,"6' 5""",265 lbs.,--,,--
413,Manvel Gamburyan,The Anvil,18-11-0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981"
414,Tina Lahdemaki,Jelly Bean,5-1-0,"5' 2""",115 lbs.,"62""",Orthodox,"May 28, 1988"
415,Karen Darabedyan,,9-4-0,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986"
416,Yoshiro Maeda,,28-12-2,"5' 7""",139 lbs.,"68""",Southpaw,"Oct 31, 1981"
417,Claudio Silva,Hannibal,12-1-0,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982"
418,Bryan Baker,The Beast,16-3-0,"6' 3""",185 lbs.,--,Orthodox,"Oct 13, 1985"
419,Herschel Walker,,2-0-0,"6' 1""",215 lbs.,--,Orthodox,"Mar 03, 1962"
420,Joanne Calderwood,JoJo,13-3-0,"5' 6""",125 lbs.,"65""",Orthodox,"Dec 23, 1985"
421,Victor Valenzuela,Joe Boxer,11-6-2,"5' 10""",155 lbs.,--,,--
422,Takayuki Okada,Giant Ochiai,3-3-2,"6' 1""",290 lbs.,--,Orthodox,--
423,Frank Hamaker,,1-0-0,--,--,--,,--
424,Daichi Abe,,6-2-0,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991"
425,Nadia Kassem,187,5-1-0,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 15, 1995"
426,Eli Tamez,Tomahawk,10-0-0,"5' 7""",135 lbs.,--,,"Aug 22, 1985"
427,William Patolino,Patolino,8-3-0,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991"
428,Cezar Ferreira,Mutante,14-7-0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985"
429,Mitsuhiro Ishida,The Endless Warrior,20-7-1,"5' 6""",154 lbs.,--,Southpaw,"Dec 29, 1978"
430,James Irvin,The Sandman,15-9-0 (2 NC),"6' 2""",205 lbs.,"75""",Orthodox,"Sep 12, 1978"
431,Allan Zuniga,Tigre,13-2-0,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992"
432,Turrell Galloway,,5-2-0,"5' 3""",145 lbs.,--,,--
433,David Abbott,Tank,10-14-0,"6' 0""",265 lbs.,--,Switch,--
434,Joey Gambino,The Raging Warrior,9-2-0,"5' 7""",145 lbs.,--,Orthodox,"Oct 26, 1988"
435,Papy Abedi,Makambo,9-3-0,"5' 11""",185 lbs.,"74""",Southpaw,"Jun 30, 1978"
436,Rin Nakai,,16-2-1,"5' 1""",135 lbs.,"60""",Orthodox,"Oct 22, 1986"
437,Dustin Pague,The Disciple,11-10-0,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987"
438,Jimmy Wallhead,Judo,29-11-0,"5' 10""",170 lbs.,"73""",Orthodox,"Mar 14, 1984"
439,Edson Barboza,Junior,20-6-0,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986"
440,Michiyoshi Ohara,,0-2-0,"5' 10""",205 lbs.,--,Orthodox,--
441,Damir Hadzovic,The Bosnian Bomber,12-4-0,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986"
442,Volkan Oezdemir,No Time,15-3-0,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989"
443,Ronaldo Candido,Pacman,6-0-0,"5' 6""",125 lbs.,--,Southpaw,"Apr 24, 1989"
444,Egidijus Valavicius,,20-9-0,"6' 0""",200 lbs.,--,Orthodox,--
445,Mark Eddiva,,6-3-0,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986"
446,Zhang Lipeng,The Warrior,9-9-1,"5' 11""",155 lbs.,"71""",Southpaw,"Mar 10, 1990"
447,Jorge Interiano,,3-3-0,"6' 1""",205 lbs.,--,,--
448,Cindy Dandois,Battle Cat,8-3-0,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 26, 1984"
449,Leonardo Mafra,Macarrao,12-3-0,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989"
450,Jaime Jara,El Cucui,32-10-0 (1 NC),"6' 1""",205 lbs.,--,Southpaw,"Aug 02, 1969"
451,Alex Caceres,Bruce Leeroy,14-11-0 (1 NC),"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
452,Aiemann Zahabi,,7-1-0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987"
453,Erick Wanderlei,,3-3-0,"6' 1""",205 lbs.,--,Orthodox,--
454,Ian Rammel,,4-3-0,"6' 0""",185 lbs.,--,,"Jul 22, 1985"
455,Chris Indich,The Savage,5-3-0,"5' 10""",170 lbs.,"73""",,"Apr 22, 1987"
456,Bao Quach,,18-10-1,"5' 3""",145 lbs.,--,Orthodox,"Sep 04, 1979"
457,Mike Aina,Iron,12-6-1 (1 NC),"5' 9""",155 lbs.,--,Orthodox,--
458,Hiroyuki Takaya,Streetfight Bancho,16-10-1,"5' 6""",139 lbs.,--,Orthodox,"Jun 10, 1977"
459,Claudia Gadelha,Claudinha,16-4-0,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988"
460,John Halverson,The Hurricane,16-7-0 (1 NC),"5' 9""",155 lbs.,--,Southpaw,"Sep 08, 1972"
461,Leon Edwards,Rocky,16-3-0,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991"
462,Takahiro Oba,,5-7-1,"5' 8""",200 lbs.,--,Southpaw,--
463,Razak Al-Hassan,,11-5-0,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982"
464,Norifumi Yamamoto,Kid,18-6-0 (2 NC),"5' 4""",135 lbs.,"66""",Southpaw,"Mar 15, 1977"
465,Eric Magana,,1-1-0,--,--,--,,--
466,Randall Wallace,Braveheart,15-6-0,"5' 11""",185 lbs.,"73""",Orthodox,"Mar 01, 1989"
467,Daniel Acacio,,26-12-0,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977"
468,Seichi Ikemoto,,20-17-5,"5' 11""",168 lbs.,--,Orthodox,"Aug 24, 1975"
469,Rampage Jackson,Rampage,36-11-0,"6' 1""",205 lbs.,"73""",Orthodox,"Jun 20, 1978"
470,Goiti Yamauchi,,21-3-0,"5' 10""",145 lbs.,--,,"Jan 05, 1993"
471,Ricardo Abreu,Demente,5-3-0,"5' 11""",185 lbs.,"73""",Orthodox,"Apr 27, 1984"
472,Sai Wang,The Fire Kylin,8-5-1,"6' 0""",170 lbs.,"72""",Southpaw,"Jan 14, 1986"
473,Igor Zinoviev,Houdini,4-1-2,"6' 1""",199 lbs.,--,Orthodox,--
474,Minoki Ichihara,,0-1-0,"5' 7""",178 lbs.,--,Orthodox,--
475,Sam Adkins,The Experience,7-20-2,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965"
476,Darren Elkins,The Damage,25-7-0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984"
477,Mike Campbell,The Beast,9-4-0,"5' 9""",155 lbs.,--,Southpaw,--
478,Niklas Backstrom,,8-2-0 (1 NC),"6' 1""",145 lbs.,"74""",Orthodox,"Aug 22, 1989"
479,Patrick Walsh,The Beast of the East,5-3-0,"5' 11""",185 lbs.,"71""",,"Nov 28, 1988"
480,Damacio Page,The Angel of Death,12-8-0,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 30, 1982"
481,Keith Hackney,The Giant Killer,2-2-0,"5' 11""",200 lbs.,--,Sideways,--
482,Roman Zentsov,The Russian Hammer,18-13-0,"6' 1""",230 lbs.,--,Orthodox,"Sep 10, 1973"
483,Amador Ramirez,,5-4-0,--,135 lbs.,--,,"Jun 14, 1990"
484,Richard Odoms,The Black Eagle,8-1-0,"6' 5""",265 lbs.,"82""",Orthodox,"May 08, 1975"
485,Andre Galvao,,5-2-0,"5' 7""",168 lbs.,--,Orthodox,"Sep 29, 1982"
486,Andy Ogle,The Little Axe,9-6-0,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989"
487,Dong Hyun Ma,Maestro,15-9-3,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988"
488,Raulian Paiva,,18-2-0,"5' 8""",125 lbs.,"69""",Orthodox,"Oct 17, 1995"
489,Yuji Nagata,,0-2-0,"6' 0""",225 lbs.,--,Orthodox,"Apr 24, 1968"
490,Lukasz Sajewski,Wookie,13-3-0,"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990"
491,Rodney Wallace,Shonuff the Master,11-4-1,"5' 9""",205 lbs.,"72""",Switch,"Nov 21, 1981"
492,Louis Jauregui,,4-2-0,"5' 7""",170 lbs.,--,,--
493,Luis Ramos,Beicao,19-8-2,"5' 8""",170 lbs.,--,Orthodox,"Jan 18, 1981"
494,Cale Yarbrough,,8-3-0,"6' 1""",185 lbs.,--,Orthodox,"Dec 27, 1986"
495,Ryan Hall,The Wizard,7-1-0,"5' 10""",155 lbs.,"71""",,"Feb 22, 1985"
496,Jeremy Jackson,Scorpion,9-5-0,"5' 10""",170 lbs.,--,Orthodox,"Sep 19, 1982"
497,Don Madge,Magic Man,8-3-1,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990"
498,Hiromitsu Kanehara,,19-24-3,"5' 10""",200 lbs.,--,Orthodox,"Oct 05, 1970"
499,Ron Faircloth,,33-20-0 (1 NC),"5' 9""",205 lbs.,--,Orthodox,"Aug 16, 1979"
500,Jimmy Quinlan,Crash,3-1-1,"6' 0""",185 lbs.,"72""",Orthodox,"May 25, 1986"
501,Maiquel Falcao,Big Rig,28-4-0 (1 NC),"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981"
502,Jason Fairn,,4-5-0,"6' 1""",230 lbs.,--,,--
503,Song Yadong,The Terminator,14-4-0 (1 NC),"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997"
504,Nobuhiro Obiya,,12-5-1,"5' 8""",145 lbs.,--,Orthodox,"Jan 15, 1981"
505,Tarec Saffiedine,Sponge,16-7-0,"5' 10""",170 lbs.,"70""",Switch,"Sep 06, 1986"
506,Evan Tanner,,32-8-0,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971"
507,Ovince Saint Preux,,23-12-0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983"
508,Amir Rahnavardi,,11-10-0,"6' 0""",205 lbs.,--,Orthodox,"Dec 07, 1974"
509,Ryuki Ueyama,,11-13-5 (1 NC),"5' 11""",180 lbs.,--,Southpaw,"Apr 17, 1976"
510,Chris Wade,,12-3-0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 30, 1987"
511,Johnny Walker,,16-3-0,"6' 5""",205 lbs.,"82""",Orthodox,"Mar 30, 1992"
512,Urijah Faber,The California Kid,34-10-0,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979"
513,Emily Peters Kagan,,3-3-0,"5' 3""",115 lbs.,"66""",,"Jul 14, 1981"
514,Rory MacDonald,Red King,18-4-0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989"
515,Piotr Hallmann,Pletwal,15-5-0,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1987"
516,Masakatsu Okuda,,8-5-0,--,--,--,,--
517,Tim Lajcik,The Bohemian,7-6-1,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965"
518,Stoney Hale,The Skuller,4-2-0,"6' 0""",--,--,,"Oct 18, 1979"
519,Chico Camus,The King,14-7-0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985"
520,Carina Damm,Beauty But the Beast,17-6-0,"5' 4""",135 lbs.,--,,--
521,Mikhail Iloukhine,,30-11-1,"5' 9""",205 lbs.,--,Orthodox,"Nov 21, 1966"
522,Takeshi Yamazaki,,15-12-3,"5' 8""",139 lbs.,--,Southpaw,--
523,Yoshiaki Yatsu,,0-2-0,"6' 1""",165 lbs.,--,Orthodox,"Jul 19, 1956"
524,Rose Namajunas,Thug,9-3-0,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992"
525,Hiroyuki Abe,Abe Ani,8-14-3 (1 NC),"5' 6""",145 lbs.,--,Orthodox,--
526,Yoshihiro Takayama,,1-4-0,"6' 5""",280 lbs.,--,Orthodox,"Sep 19, 1968"
527,Logan Nail,,1-1-0,--,185 lbs.,--,,"Jun 20, 1989"
528,Raymond Daniels,,0-1-0,"6' 2""",185 lbs.,--,Southpaw,--
529,Victor Valimaki,The Matrix,16-8-0,"6' 0""",205 lbs.,--,Orthodox,--
